ID,Area,Sum_length,Density,Mean_price,Sum_Z,Mean_cy,Count_trans,POINT_X,POINT_Y
5229,2.25,0.2736,0.1216,0,2352,0,0,363388.833,3504075.811
1486,2.25,0.5717,0.2541,0,2696,0,0,364888.833,3426075.811
1637,2.25,5.4067,2.403,0,12295,0,0,375388.833,3429075.811
995,2.25,6.6844,2.9708,0,664,0,0,384388.833,3415575.811
1521,2.25,0,0,0,4255,0,0,309388.833,3427575.811
384,2.25,0,0,0,920,0,0,331981.1499,3403726.292
4741,2.25,2.7908,1.2403,0,1193,0,0,387388.833,3493575.811
1807,2.25,1.5048,0.6688,0,867,0,0,306399.035,3433804.798
1164,2.25,6.92,3.0755,0,1175,0,0,313888.833,3420075.811
1194,2.25,10.3461,4.5983,0,2787,0,0,358888.833,3420075.811
1878,2.25,0,0,0,1074,0,0,304958.3602,3435151.043
1555,2.25,6.2173,2.7632,0,2841,0,0,360388.833,3427575.811
2696,2.25,28.5136,12.6727,5186.06,55328,0,0,343888.833,3451575.811
3869,2.25,2.9889,1.3284,0,10708,0,0,375388.833,3475575.811
2900,2.25,1.9738,0.8773,0,1981,0,0,325888.833,3456075.811
3436,2.25,0.0233,0.0104,0,0,0,0,373535.9812,3466094.243
5375,2.25,0,0,0,314,0,0,366112.137,3506627.034
4945,2.25,1.883,0.8369,0,2063,0,0,369388.833,3498075.811
1875,2.25,4.5134,2.006,0,1845,0,0,300388.833,3435075.811
2390,2.25,7.4046,3.2909,0,1035,0,0,316888.833,3445575.811
3364,2.25,8.3965,3.7318,0,451,0,0,373851.8627,3465041.662
3350,2.25,26.0132,11.5614,4845.38,212936,0,0,352888.833,3465075.811
5145,2.25,0.7201,0.32,0,34830,0,0,345388.833,3502575.811
5359,2.25,0,0,0,2228,0,0,342388.833,3507075.811
5855,2.25,0.0446,0.0198,0,1048,0,0,330388.833,3517575.811
691,2.25,0,0,0,0,0,0,361134.6698,3410309.514
1813,2.25,0,0,0,14160,0,0,315388.833,3433575.811
3212,2.25,20.0135,8.8949,5809.7,96549,0,0,361888.833,3462075.811
3865,2.25,0,0,0,222,0,0,370040.4256,3476198.061
1392,2.25,3.0019,1.3342,0,2940,0,0,331888.833,3424575.811
4744,2.25,0,0,0,934,0,0,391888.833,3493575.811
1506,2.25,0.3364,0.1495,0,6795,0,0,394888.833,3426075.811
1321,2.25,1.6074,0.7144,0,1709,0,0,333388.833,3423075.811
1838,2.25,11.7061,5.2027,0,1104,0,0,352888.833,3433575.811
4128,2.25,2.2703,1.009,0,5404,0,0,331888.833,3481575.811
1768,2.25,3.8197,1.6976,0,327,0,0,355888.833,3432075.811
2485,2.25,12.1724,5.41,5398.83,157718,0,0,351388.833,3447075.811
1003,2.25,7.5381,3.3503,0,0,0,0,396384.7666,3415580.159
1062,2.25,0.9575,0.4256,0,2447,0,0,376888.833,3417075.811
4276,2.25,1.5213,0.6761,0,1741,0,0,337888.833,3484575.811
4240,2.25,0,0,0,1490,0,0,391888.833,3483075.811
4529,2.25,0,0,0,2092,0,0,393388.833,3489075.811
4305,2.25,1.7503,0.7779,0,1570,0,0,381389.6005,3484576.613
2548,2.25,9.0942,4.0419,4568.42,9221,0,0,337888.833,3448575.811
2707,2.25,10.642,4.7298,7239.26,121822,0,0,360388.833,3451575.811
1183,2.25,1.5003,0.6668,0,6582,0,0,342388.833,3420075.811
4943,2.25,3.018,1.3414,0,2092,0,0,366388.833,3498075.811
1147,2.25,12.6155,5.6069,3969.05,2106,0,0,396388.833,3418575.811
1782,2.25,4.7989,2.1328,0,1184,0,0,376888.833,3432075.811
4349,2.25,5.3624,2.3833,0,2424,0,0,339366.8924,3486040.44
4454,2.25,0.6552,0.2912,0,1143,0,0,388888.833,3487575.811
469,2.25,0,0,0,0,0,0,350855.1054,3405733.084
4138,2.25,6.7838,3.015,0,16386,0,0,346888.833,3481575.811
1278,2.25,3.0385,1.3505,0,6381,0,0,376888.833,3421575.811
171,2.25,2.3012,1.0228,0,43624,0,0,336388.833,3399075.811
4126,2.25,2.466,1.096,0,6077,0,0,328888.833,3481575.811
1631,2.25,5.5589,2.4706,0,3771,0,0,366388.833,3429075.811
2640,2.25,16.2858,7.2381,0,5494,0,0,367888.833,3450075.811
1849,2.25,7.0816,3.1474,0,659,0,0,369388.833,3433575.811
2035,2.25,2.4741,1.0996,0,3362,0,0,324388.833,3438075.811
2612,2.25,7.8843,3.5041,3387.5,1288,84476.91,0,325888.833,3450075.811
2680,2.25,4.9801,2.2134,0,11796,92234.5,0,319888.833,3451575.811
2549,2.25,19.2745,8.5664,5636.08,60213,0,0,339388.833,3448575.811
3733,2.25,0,0,0,1027,0,0,387252.455,3472138.998
5150,2.25,5.9946,2.6643,0,1067,0,0,352888.833,3502575.811
2452,2.25,1.5234,0.677,0,574,0,0,301964.146,3446730.722
5431,2.25,3.6224,1.61,0,1507,0,0,342388.833,3508575.811
6003,2.25,0,0,0,1471,0,0,336388.833,3520575.811
2116,2.25,5.6129,2.4946,0,2122,0,0,337888.833,3439575.811
1357,2.25,2.1117,0.9385,0,2151,0,0,387388.833,3423075.811
2143,2.25,3,1.3333,0,1433,0,0,378388.833,3439575.811
1874,2.25,0,0,0,493,0,0,299466.1209,3435045.538
1509,2.25,0,0,0,0,0,0,399387.5142,3426074.546
5645,2.25,1.3932,0.6192,0,2171,0,0,339388.833,3513075.811
1337,2.25,3.0213,1.3428,0,2977,0,0,357388.833,3423075.811
3132,2.25,10.9157,4.8514,7573.51,95179,90992.2,0,349888.833,3460575.811
1718,2.25,3.1692,1.4086,0,930,0,0,388888.833,3430575.811
4939,2.25,3.85,1.7111,0,2404,0,0,360388.833,3498075.811
2849,2.25,10.543,4.6858,9010.74,100366,0,0,357388.833,3454575.811
2495,2.25,16.915,7.5178,0,1712,0,0,366388.833,3447075.811
1981,2.25,16.2894,7.2397,0,77631,0,0,351388.833,3436575.811
3851,2.25,8.2388,3.6617,0,14365,0,0,348388.833,3475575.811
2466,2.25,11.7062,5.2028,4041.67,1228,0,0,322888.833,3447075.811
4080,2.25,0,0,0,1106,0,0,367814.9214,3479599.271
1793,2.25,0,0,0,438,0,0,393388.833,3432075.811
3635,2.25,5.8476,2.5989,3232.8,80636,0,0,348388.833,3471075.811
3190,2.25,4.5624,2.0277,0,9678,0,0,328888.833,3462075.811
1090,2.25,16.1915,7.1962,0,6385,0,0,310911.1216,3418595.382
4532,2.25,0,0,0,1105,0,0,397888.833,3489075.811
1614,2.25,1.9084,0.8482,0,22871,0,1,340888.833,3429075.811
245,2.25,4.3754,1.9446,2500,44390,0,1,339388.833,3400575.811
2118,2.25,7.8956,3.5092,4833.69,22035,0,13,340888.833,3439575.811
2970,2.25,4.3996,1.9554,0,1237,6267.29,14,322888.833,3457575.811
2934,2.25,2.3577,1.0479,0,746,6682.44,5,376888.833,3456075.811
2852,2.25,12.1949,5.42,9120,68170,71403.93,4,361888.833,3454575.811
888,2.25,0,0,0,2136,0,4,331888.833,3414075.811
3276,2.25,13.9103,6.1824,5885.05,119100,20165.63,13,349888.833,3463575.811
882,2.25,3.0001,1.3334,0,2107,0,3,322888.833,3414075.811
1561,2.25,0,0,0,2528,0,16,369388.833,3427575.811
597,2.25,3.0011,1.3338,0,3081,0,2,327381.2538,3408084.859
2845,2.25,18.4926,8.2189,9241.08,140259,1229.5,2,351388.833,3454575.811
1248,2.25,1.5004,0.6669,0,1206,0,1,331888.833,3421575.811
2722,2.25,13.3847,5.9487,0,7322,78502.24,6,382888.833,3451575.811
3216,2.25,4.539,2.0173,4695.45,62671,89071.88,4,367888.833,3462075.811
2927,2.25,11.3617,5.0496,0,133486,53955,3,366388.833,3456075.811
1715,2.25,6.2881,2.7947,0,1295,0,17,384388.833,3430575.811
3138,2.25,16.2422,7.2188,7937.53,78841,5.5,5,358888.833,3460575.811
2366,2.25,1.5721,0.6987,0,3434,0,18,388888.833,3444075.811
1192,2.25,4.825,2.1444,0,2058,0,1,355888.833,3420075.811
2700,2.25,29.1885,12.9727,7543.43,82664,85500,3,349888.833,3451575.811
2547,2.25,21.0424,9.3522,10617.65,1168,5376.3,10,336388.833,3448575.811
2350,2.25,2.5969,1.1542,5434.62,1259,0,1,364888.833,3444075.811
1109,2.25,9.7169,4.3186,0,12650,0,7,339388.833,3418575.811
2508,2.25,23.3478,10.3768,0,60090,0,2,385888.833,3447075.811
2165,2.25,0,0,0,9235,0,3,303388.833,3441075.811
1571,2.25,6.1274,2.7233,0,1257,0,4,384388.833,3427575.811
1965,2.25,5.3353,2.3713,3590,129090,0,1,327388.833,3436575.811
3123,2.25,26.1972,11.6432,0,695,83461.04,27,336388.833,3460575.811
394,2.25,0.7849,0.3489,0,0,0,10,346755.8338,3403728.078
542,2.25,0,0,0,4943,0,4,352789.914,3406897.829
2537,2.25,10.656,4.736,4031.44,126777,0,4,321388.833,3448575.811
1020,2.25,7.4398,3.3066,0,1839,0,6,313888.833,3417075.811
2071,2.25,4.7556,2.1136,15000,24561,0,1,378388.833,3438075.811
2098,2.25,2.3117,1.0274,0,1152,0,1,310888.833,3439575.811
1318,2.25,6.4752,2.8779,0,3876,0,16,328888.833,3423075.811
2850,2.25,20.5974,9.1544,7718.21,80244,7719.11,13,358888.833,3454575.811
748,2.25,5.2559,2.3359,0,2190,0,1,337888.833,3411075.811
2099,2.25,1.8892,0.8396,0,1644,0,1,312388.833,3439575.811
2898,2.25,5.6277,2.5012,0,1826,3938.18,2,322888.833,3456075.811
1497,2.25,6.373,2.8324,1750,2405,0,9,381388.833,3426075.811
